anio,edo,tipo,sexo,tasa
2008,Tamaulipas,trans,Mujeres,46.1
2008,Tlaxcala,trans,Mujeres,52.6
2008,Veracruz,trans,Mujeres,64.7
2008,Yucatán,trans,Mujeres,60
2008,Zacatecas,trans,Mujeres,52.6
2e3,Aguascalientes,trans,Hombres,72.5
2e3,Baja California,trans,Hombres,115.1
2e3,Baja California Sur,trans,Hombres,91.3
2e3,Campeche,trans,Hombres,64.1
2e3,Coahuila,trans,Hombres,69.3
2e3,Colima,trans,Hombres,72.1
2e3,Chiapas,trans,Hombres,119
2e3,Chihuahua,trans,Hombres,94.6
2e3,Distrito Federal,trans,Hombres,90.7
2e3,Durango,trans,Hombres,50.7
2e3,Guanajuato,trans,Hombres,96.5
2e3,Guerrero,trans,Hombres,69.8
2e3,Hidalgo,trans,Hombres,72
2e3,Jalisco,trans,Hombres,85.1
2e3,México,trans,Hombres,102
2e3,Michoacán,trans,Hombres,70.4
2e3,Morelos,trans,Hombres,86.5
2e3,Nayarit,trans,Hombres,75.4
2e3,Nuevo León,trans,Hombres,68.4
2e3,Oaxaca,trans,Hombres,117.9
2e3,Puebla,trans,Hombres,121.7
2e3,Querétaro,trans,Hombres,86.6
2e3,Quintana Roo,trans,Hombres,79.1
2e3,San Luis Potosí,trans,Hombres,69.8
2e3,Sinaloa,trans,Hombres,56.3
2e3,Sonora,trans,Hombres,87.7
2e3,Tabasco,trans,Hombres,81.5
2e3,Tamaulipas,trans,Hombres,60.9
2e3,Tlaxcala,trans,Hombres,103.4
2e3,Veracruz,trans,Hombres,89.1
2e3,Yucatán,trans,Hombres,85.9
2e3,Zacatecas,trans,Hombres,68.8
2001,Aguascalientes,trans,Hombres,65.6
2001,Baja California,trans,Hombres,99.1
2001,Baja California Sur,trans,Hombres,85.2
2001,Campeche,trans,Hombres,63.8
2001,Coahuila,trans,Hombres,65.7
2001,Colima,trans,Hombres,74.1
2001,Chiapas,trans,Hombres,121.7
2001,Chihuahua,trans,Hombres,93.2
2001,Distrito Federal,trans,Hombres,86.3
2001,Durango,trans,Hombres,56.7
2001,Guanajuato,trans,Hombres,78.7
2001,Guerrero,trans,Hombres,71.5
2001,Hidalgo,trans,Hombres,65.2
2001,Jalisco,trans,Hombres,79.9
2001,México,trans,Hombres,95.4
2001,Michoacán,trans,Hombres,64.9
2001,Morelos,trans,Hombres,76.2
2001,Nayarit,trans,Hombres,74.6
2001,Nuevo León,trans,Hombres,64.8
2001,Oaxaca,trans,Hombres,113.5
2001,Puebla,trans,Hombres,114.3
2001,Querétaro,trans,Hombres,79.2
2001,Quintana Roo,trans,Hombres,86.4
2001,San Luis Potosí,trans,Hombres,73.7
2001,Sinaloa,trans,Hombres,52
2001,Sonora,trans,Hombres,83.7
2001,Tabasco,trans,Hombres,79.3
2001,Tamaulipas,trans,Hombres,65.6
2001,Tlaxcala,trans,Hombres,97.2
2001,Veracruz,trans,Hombres,90.4
2001,Yucatán,trans,Hombres,92.9
2001,Zacatecas,trans,Hombres,56.4
2002,Aguascalientes,trans,Hombres,64.2
2002,Baja California,trans,Hombres,104.5
2002,Baja California Sur,trans,Hombres,71.7
2002,Campeche,trans,Hombres,79.6
2002,Coahuila,trans,Hombres,75.9
2002,Colima,trans,Hombres,71.2
2002,Chiapas,trans,Hombres,114.7
2002,Chihuahua,trans,Hombres,94.3
2002,Distrito Federal,trans,Hombres,78
2002,Durango,trans,Hombres,61.5
2002,Guanajuato,trans,Hombres,82.5
2002,Guerrero,trans,Hombres,70
2002,Hidalgo,trans,Hombres,74.2
2002,Jalisco,trans,Hombres,81.9
2002,México,trans,Hombres,89.4
2002,Michoacán,trans,Hombres,68.5
2002,Morelos,trans,Hombres,84.7
2002,Nayarit,trans,Hombres,74.4
2002,Nuevo León,trans,Hombres,68.9
2002,Oaxaca,trans,Hombres,116.9
2002,Puebla,trans,Hombres,112.4
2002,Querétaro,trans,Hombres,82.4
2002,Quintana Roo,trans,Hombres,64.4
2002,San Luis Potosí,trans,Hombres,77.5
2002,Sinaloa,trans,Hombres,57
2002,Sonora,trans,Hombres,85.8
2002,Tabasco,trans,Hombres,83.6
2002,Tamaulipas,trans,Hombres,58.2
2002,Tlaxcala,trans,Hombres,92.8
2002,Veracruz,trans,Hombres,90.7
2002,Yucatán,trans,Hombres,82.8
2002,Zacatecas,trans,Hombres,69.1
2003,Aguascalientes,trans,Hombres,66.6
2003,Baja California,trans,Hombres,103
2003,Baja California Sur,trans,Hombres,94.2
2003,Campeche,trans,Hombres,76
2003,Coahuila,trans,Hombres,67.2
2003,Colima,trans,Hombres,68.1
2003,Chiapas,trans,Hombres,117.2
2003,Chihuahua,trans,Hombres,99.5
2003,Distrito Federal,trans,Hombres,81.6
2003,Durango,trans,Hombres,55
2003,Guanajuato,trans,Hombres,84.6
2003,Guerrero,trans,Hombres,67.8
2003,Hidalgo,trans,Hombres,72.2
2003,Jalisco,trans,Hombres,82.6
2003,México,trans,Hombres,87.6
2003,Michoacán,trans,Hombres,60.4
2003,Morelos,trans,Hombres,69.5
2003,Nayarit,trans,Hombres,74.8
